в Москве; в Москву|in Moscow; to Moscow
pr sg о чести, в чести, g pl честей
no pl
на совещании at a meeting
nom pl слёзы, g pl слёз, d pl слезам; слёзы радости tears of joy
nom pl донья, g pl доньев; на дне моря at the bottom of the sea
пасть: паду, падёшь; past пал, пала/упасть: упаду, упадёшь; past упал упала
i заявляю, заявляешь; p: заявлю, заявишь
nom pl колени, g pl коленей; колен in set phrases: встать с колен to get up from one’s knees
p: сниму, снимешь, f past сняла
nom pl высоты
nom pl острова
i: отношусь, относишься; p отнесусь, отнесёшься, past отнёсся, отнеслась
i перестаю, перестаёшь; p перестану, перестанешь
столь важно so important
мирный договор peace treaty
социальное положение social status
nom pl волосы, g pl волос, d pl волосам
g, d, pr sg дитяти; inst дитятею; nom pl дети, g pl детей, d pl детям, inst pl детьми, pr pl детях
p: куплю, купишь
nom pl луны
p: пущу, пустишь
g sg кулака
g pl кухонь
g sg любви; inst sg любовью, d sg/pr sg любви
g sg рисунка
nom pl слой, g pl слоев
a sg цену, nom pl цены, g pl цен, d pl ценам
g sg коня, nom pl кони, g pl коней
i: теряю, теряешь; p: потеряю, потеряешь
pr sg в роду; nom pl роды; роды childbirth
g sg господа; Господи! Oh Lord! Good Heavens!
nom pl губы, g pl губ, d pl губам
p: пошлю, пошлёшь
g pl тётей
сделать вывод to draw a conclusion
i: выполняю, выполняешь
nom pl зёрна, g pl зёрен, d pl зёрнам; кофе в зёрнах coffee beans
p: добьюсь, добьёшься
g sg старика
a sg спину, nom pl спины
сужу, судишь; судя по +d judging by
p: умру, умрёшь, past умер, умерла, умерло
большой запас слов a large vocabulary
земной шар the globe
p: предложу, предложишь
i: создаю, создаёшь; p: -ам -ашь -аст -адим -адите -адут
завишу, зависишь
g sg плода; приносить плоды to bear fruit
что касается +g as for, with regard to
p: прикажу, прикажешь
родной язык native language, mother tongue; ваши родные your relatives
i: стремлюсь, стремишься
nom pl тома
ради Бога for God’s sake
Вы меня слышите?|Can you hear me?; p: услышу, услышишь
nom pl уши, g pl ушей
гораздо лучше much better
g pl площадей
nom pl поезда
nom pl профессора
g pl солей
g sg сна
pr sg в тени, g pl теней
nom pl граждане, g pl граждан
i достаю, достаёшь; p: достану, достанешь
g sg дурака
g pl лошадей, inst pl лошадьми, pr pl лошадях
 (+1st person pl р or i inf) Давайте выпьем Let’s have a drink
pl беды ; беда в том, что ... the trouble is that...
p: закрою, закроешь
nom pl звёзды, g pl звёзд
i: провожу, проводишь; p: проведу, проведёшь, past провёл, провела
размеры proportions, dimensions
p: разрешу, разрешишь
d нечему; inst нечем; pr не о чем; Нечего делать There is nothing to do
g pl лодок
g sg сапога; g pl сапог
скорее всего most probably
в дальнейшем henceforth
либо ..., либо either..., or
смотреть телевизор to watch television
(3rd pers only) имеется, имеются
no p
nom pl следы
внешняя политика foreign policy
g sg ножа
pr sg о груди в груди, g pl грудей
g sg моряка
передовая статья leading article
p: установлю, установишь
g pl ворот
g sg дворца
длиной в два метра two metres long
за +inst to watch over
p: получится
p: соглашусь, согласишься
принимать участие в +pr to take part in
Нам было весело We enjoyed ourselves
постоянный адрес permanent address
отдать приказ to issue an order
(nom pl тоны, g pl тонов) tone, musical tone; (nom pl тона, g pl тонов) colour tone, tint
g pl книжек; записная книжка notebook
pr sg о пыли, в пыли
светлая комната light room
серый волк grey wolf
оказать влияние на +а to influence s.o. or sth
p: помолчу, помолчишь
атомная электростанция atomic power station
за границей abroad
no pl; в защиту кого-нибудь in defence of s.o.
g sg куска; кусок сахара sugar lump
Молчание - знак согласия Silence gives consent
пара сапог a pair of boots
g sg платка; носовой платок handkerchief
практический опыт practical experience
в пределах +g within
g pl стенок; стенки трубки sides of a tube
живое существо living creature
нарушить тишину to break the silence
товары широкого потребления consumer goods
вершина горы mountain peak
произвести взрыв to cause an explosion
Он не виноват It’s not his fault
p вырасту, вырастешь, past вырос, выросла
гражданская война civil war
государственный деятель statesman
g sg дождя; под дождём in the rain
Его невозможно найти Не can’t be found
р also по-
i: позволяю, позволяешь; p: позволю, позволишь
nom pl роли, g pl ролей
nom pl сёстры, g pl сестёр, d pl сёстрам, inst pl сёстрами, pr pl сёстрах
жить в столице to live in the capital
стройная фигура shapely figure
g sg царя, inst sg царём
бедные люди poor people
верхняя полка upper berth
вслед за ним after him
внести изменения в +a to make changes in
ношу, носишь; indet of нести i
в особенности in particular
f рада, pl рады
Погода резко изменилась There was a sharp change in the weather
g sg звонка
no pl; В этом нет необходимости It is not essential
no pl
свобода печати freedom of the press
к/для for; по поводу +g concerning, apropos of
Он постоянно недоволен He is always dissatisfied
i: разумеется; под этим разумеется this implies; само собой разумеется it goes without saying
стакан чаю a glass of tea
точный перевод exact translation
p: уеду, уедешь
широко улыбаться to smile broadly
возможные решения possible solutions
no pl; изучение природы study of nature
i: Благодарю вас I thank you
блестящий ум brilliant mind
nom pl веса; вес пакета weight of a packet
g sg врача; Она любит врачей She likes doctors
крик восторга cry of joy
p: обеспечу, обеспечишь
g sg рта; pr sg во рту, о рте, nom pl рты, g pl ртов
соседняя комната next room
p: докажу, докажешь
Выпьем за её здоровье! Let’s drink to her health!
p: Извините! I’m sorry!
g pl ошибок; по ошибке by mistake
Он тотчас уехал Не left at once
вагон-ресторан restaurant car
горю, горишь; Горел свет There was a light on
далёкий город distant town
дипломатические каналы diplomatic channels
разговорная практика conversation practice
к сожалению unfortunately
укрепление обороны strengthening of defence
pr sg в быту; служба быта consumer services
g sg недостатка
i: подаю, подаёшь; p: подам, подашь, подаст, подадим, подадите, подадут, past подал, подала, подало; подать пример to set an example
в поисках (+g) in search of
pr sg в порту, о порте; nom pl порты, g pl портов
назначить свидание to arrange a meeting; до свидания goodbye
провести черту to draw a line
p: вздохну, вздохнёшь
g pl записок; послать записку to send a note
nom pl озёра, g pl озёр
организую, организуешь; i in past организовывать
классовое сознание class consciousness 
пять градусов тепла five degrees above zero
космическое пространство outer space
i: составляю, составляешь; p: составлю, составишь;
i: стреляю, стреляешь
вдоль реки along the river
p: встречусь, встретишься
продукты produce, provisions, food
через две секунды two seconds later
братские страны fraternal countries
i дохожу, доходишь; p: дойду, дойдёшь, past дошёл, дошла
i захожу, заходишь; p: зайду, зайдёшь; past зашёл, зашла
могучая армия powerful army
мотор автомобиля car engine
борьба за независимость independence struggle
g sg бойца
Мне его жалко I’m sorry for him
no g pl
туда и обратно there and back
p: откажусь, откажешься
g sg полка, pr sg в полку
g pl попыток
g sg угля, nom pl угли/уголья, g pl углей/угольев
a sg щёку, g sg щеки, nom pl щёки, g pl щёк, d pl щекам
pr sg в дыму, nom pl дымы
nom pl красоты
i: слежу, следишь
p: схвачу, схватишь; хватать i/схватывать i
nom pl травы
g pl улыбок
Дом далеко от центра, зато метро рядом The house is far from the centre, but (on the other hand) the metro is nearby
g sg лба, pr sg на лбу
nom pl учителя
i: воюю, воюешь
g pl юношей
из-под стола from under the table; бутылка из-под молока milk bottle
i: ложусь, ложишься; p: лягу, ляжешь, лягут, past лёг, легла, imperative ляг(те)!
i пробую, пробуешь; p: попробую, попробуешь
nom pl стулья, g pl стульев
pr sg о цепи, на цепи, nom pl цепи, g pl цепей
p: обращусь, обратишься
g sg октября
i: Чем отличается университет от института? What’s the difference between a university and an institute?
i: повторяю, повторяешь
pr sg в долгу, nom pl долги
a sg зиму, g sg зимы, nom pl зимы
i знакомлюсь, знакомишься; p: познакомлюсь, познакомишься
nom pl чудеса, g pl чудес, d pl чудесам
pr sg на боку, nom pl бока
i ввожу, вводишь; p: введу, введёшь, past ввёл, ввела
i: держусь, держишься
i жалею, жалеешь; p пожалею, пожалеешь
Итак, теперь всё ясно So now everything is clear
i: надеюсь, надеешься
nom pl облака, g pl облаков
i отхожу, отходишь; p: отойду, отойдёшь, past отошёл, отошла; отойти от окна to move away from the window
p: рожусь, родишься, past родился, родилась
no pl
i: вишу, висишь
g sg образца
i: принадлежу, принадлежишь
g sg суда
nom pl адреса
no 1st person sg, p: победишь
short forms: уверен, уверена
обладать хорошим умом to have a good brain
with f nouns полторы; g, d, inst, pr полутора; полтора года 1.5 years
Он считается гением Не is considered a genius; С этим можно не считаться This can be ignored
i: участвую, участвуешь
p: брошусь, бросишься
p разовьюсь, разовьёшься, past развился, развилась
i тяну, тянешь
g sg января
no pl
частная собственность private property; собственность на землю ownership of land
no 1st pers sg, p: убедишься
nom pl кольца, g pl колец, d pl кольцам
g sg мешка
pr sg на мосту, nom pl мосты
g sg снимка
i: тороплюсь, торопишься
nom pl вести, g pl вестей
i: говорится; как говорится as they say
g, d, pr девяти, inst девятью
no pl
p: погожу, погодишь; Погодите! Wait a moment!
short forms: пьян, пьяна, пьяно, пьяны
nom pl толпы
i: ударять/бить; i ударяю
short forms зол m, зла f
назначение инструмента purpose of a tool; использовать что-нибудь по назначению to use sth for its proper purpose
pr sg в пару, nom pl пары
i: Вы читали эту книгу?|Have you read this book? /p прочту, прочтёшь, past прочёл, прочла; p also прочитать
собственно говоря strictly speaking
i: готовлю, готовишь
великие державы the Great Powers
i: заставляю, заставляешь; p: заставлю, заставишь; Он заставил нас выучить все слова Не forced us to learn all the words
nom pl колёса, g pl колёс
i: лечу, летишь; det verb of motion; p: полечу, полетишь
only nom and а; нечто другое something else
no p
g pl пропастей
p: соберу, соберёшь, past собрал, собрала, собрало
g pl хозяек
f чья, n чьё, pl чьи; Это чья книга? Whose book is this?
no pl
nom pl доли, g pl долей
подвести итоги to sum up
i признаю, признаёшь
g sg среды, nom pl среды, a sg среду, d pl средам
(indecl)
g pl дедушек
в действительности in reality, in actual fact
на заседании at a meeting
g sg ключа
g pl кресел
i: оставляю, оставляешь; p оставлю, оставишь
p: остановлю, остановишь
p: отмечу, отметишь
i: поступать в университет to enter а university; p поступлю, поступишь
по сравнению с +inst compared with
Как вам не стыдно? You ought to be ashamed
g sg танца
Добро пожаловать! Welcome!
p: заключу, заключишь
Я был там когда-то I was there once
i: перехожу, переходишь; p: перейду, перейдёшь, past перешёл, перешла
p: привыкну, привыкнешь, past привык, привыкла
p: пришлю, пришлёшь
g pl спичек
внешняя торговля foreign trade; торговля оружием arms trade
p: захвачу, захватишь
конкретный пример specific example
i отправляю; p отправлю, отправишь
nom pl трубы
nom pl тюрьмы, g pl тюрем
p: past погиб, погибла
p: прибуду, прибудешь, past прибыл, прибыла, прибыло
p состоится; no i
g pl капель
i: содержит
цветной телевизор colour television
nom pl шары; земной шар the globe
i: вру, врёшь
p: past исчез, исчезла
i: Куда ведёт эта дорога? Я веду сына в парк|Where does this road lead? I am taking my son to the park; p: поведу, поведёшь, past повёл, повела
Он стоит за домом|He is standing behind the house; p: постою, постоишь
g sg рукава, nom pl рукава
Соединённые Штаты Америки (США) United States of America
i: тружусь, трудишься
i: шумлю, шумишь
i: езжу, ездишь; p: по-/съ-
i: лезу, лезешь, past лез, лезла; p полезу, полезешь; past полез, полезла
p образую, образуешь
g pl печек
i: шучу, шутишь
g pl шуток
i: гуляю, гуляешь; p погуляю
g pl зверей
i: звучит; Это звучит странно That sounds strange
i командую, командуешь
i: курю, куришь; p: по-/за-
Он непременно придёт He’ll definitely come
p: образуется
nom pl полосы, g pl полос, d pl полосам
собор святого Павла St. Paul’s Cathedral
g pl суток; трое суток three days and nights
p: убегу, убежишь, убегут
g pl шапок
no pl except in меньшее из двух зол lesser of two evils
nom pl крыльца, g pl крылец, d pl крыльцам
nom pl соседи, g pl соседей
в сущности in essence
nom pl англичане, g pl англичан
на востоке in the east
g sg карандаша
(nom pl корпуса) corps; building; (nom pl корпусы) body, frame
g pl красок
p: похожу, походишь
no p
nom pl пояса
p: укажу, укажешь
Вряд ли он придёт He’s unlikely to come
Очень жаль, что вас не было What a pity you weren’t there
i изменяю; p: изменю, изменишь
g pl минуток; Одну минутку Just a moment
Мне некогда I haven’t time; Некогда здесь было озеро There was once a lake here
pr sg на посту, nom pl посты
на расстоянии трёх километров three kilometres away
often pl; У меня нет сведений об этом I have no information about that
на севере in the north
i: сержусь, сердишься; p рассержусь, рассердишься
p защищу, защитишь
на кафедре русского языка in the Russian department
no pl; виды спорта sports
p: выпущу, выпустишь
i: дышу, дышишь; дышать свежим воздухом to breathe fresh air
i: кладу, кладёшь, past клал, клала; p: положу, положишь
p: опущу, опустишь
спустя три дня three days later
строительная площадка building site
i устаю, устаёшь; p устану, устанешь
i: берусь; берёшься, past брался, бралась; p: возьмусь, возьмёшься, past взялся, взялась
nom pl величины
nom pl зеркала, g pl зеркал, d pl зеркалам
nom pl крылья, g pl крыльев
i: определяю, определяешь
g pl платьев
p: разберусь, разберёшься, past разобрался, разобралась
g pl пушек
экзамен по русскому языку Russian exam
i выгляжу, выглядишь; Она выглядит хорошо She looks well
i готовлюсь, готовишься
i добавляю; p добавлю, добавишь
i: дрожу, дрожишь
i объявляю; p объявлю, объявишь
p: покрою, покроешь
g sg попа
g pl привычек
nom pl строки, d pl строкам
i тянется; p потянусь, потянешься
a sg бороду, nom pl бороды, g pl бород, d pl бородам
коротко говоря in short
охота на лис fox hunting
ровно в десять at ten o’clock precisely
g sg быка
p: выдержу, выдержишь
p: достигнуть or достичь; past достиг, достигла
Она, мол, не знает She said she doesn’t know
g sg пламени, no pl
p: протяну, протянешь
nom pl сторожа
p ступлю, ступишь
g pl бутылок
i: волнуюсь, волнуешься; Не волнуйтесь Don’t worry; p: вз-/за-
на западе in the west
i направляю; p: направлю, направишь
p разобью, разобьёшь
i: смею, смеешь
g sg ствола
g sg фонаря
сорок градусов мороза forty degrees below zero
p: допущу, допустишь
g pl сказок
i схожу, сходишь; p: сойду, сойдёшь, past сошёл, сошла; сойти с ума to go mad
g pl старушек
велю, велишь; p also по-
гоню, гонишь, past гнал, гнала, гнало
p: завоюю, завоюешь
nom pl избы
g sg льда, pr sg на льду
g pl новостей
i: пахнет
g pl повестей
i торчу, торчишь
p выражу, выразишь
i посвящу, посвятишь
g sg пустяка
nom pl пятна, g pl пятен
i Мы располагаем большими деньгами We have plenty of money available; p расположу, расположишь
как вам угодно as you wish; когда вам угодно whenever you like
в частности in particular
двое детей two children
g pl девчонок
Европейский Союз European Union
меняю, меняешь
nom pl нужды
p подпишу, подпишешь
избирательный участок electoral district
бригада рабочих team of workers
командиры армии army commanders
i бьюсь, бьёшься
зря деньги тратить to waste money
i исхожу, исходишь
i отправляюсь; p отправлюсь, отправишься
i: чувствую, чувствуешь; p почувствую
признаки жизни signs of life
i светится
g pl сетей
p спасу, спасёшь, past спас, спасла
Дело заключается в следующем The matter is as follows
g pl мальчишек
p доложу, доложишь
p займусь, займёшься, past занялся, занялась
i изменяюсь; p изменюсь, изменишься; Всё изменилось Everything has changed
на конференции at a conference
g sg куста
pr sg в мозгу, nom pl мозги
p обниму, обнимешь, past обнял, обняла, обняло
p превращусь, превратишься
шёпотом in a whisper
заместитель директора deputy director
g pl клеток
Неизвестно, кто её отец No-one knows who her father is
не рассчитать to miscalculate, misjudge
f такова, n таково, pl таковы; Такова жизнь Such is life
усы moustache
p арестую
i берегу, бережёшь, берегут, past берёг, берегла
p вступлю, вступишь; вступить в политическую партию to join a political party
g sg греха
g pl дочек
Я хочу вам кое-что сказать I want to tell you something
оттого что because
p: сплавать to swim there and back
g pl поездок
nom pl ружья, g pl ружей
nom pl вина
p past возник, возникла
i жалуюсь, жалуешься
i заменяю; p заменю, заменишь
Молодцы, ребята! Well done, lads!
p надену, наденешь
i объясняю
i: произвожу, производишь; p произведу, произведёшь, past произвёл, произвела
i стучу, стучишь
гарантирую
g sg знамени; nom pl знамёна
на концерте at a concert
g sg костра
насколько мне известно as far as I know
nom pl перья
p приобрету, приобретёшь, past приобрёл, приобрела
nom pl свечи, g pl свечей
на складе in the warehouse
short forms: согласен, согласна, согласно, согласны; Вы согласны? Do you agree?
i способствую
p справлюсь, справишься
i танцую, танцуешь
i тащу, тащишь
i беседую, беседуешь
i выдаю, выдаёшь; p выдам, выдашь, выдаст, выдадим, выдадите, выдадут
выдающиеся учёные eminent scholars
i гужу, гудишь
g pl дорожек
i доставляю; p доставлю, доставишь
g sg креста
g sg ноября
i привожу, привозишь; p привезу, привезёшь, past привёз, привезла
i прячу, прячешь; p спрячу, спрячешь
сегодняшняя газета today’s paper
глупости nonsense
деловые люди businesspeople
p загляну, заглянешь
ни в коем случае certainly not
p откроется; Музей откроется в десять The museum will open at ten
в отличие от +g as distinct from
g pl перестроек
p раскрою, раскроешь
i соответствует
g sg хвоста
на вокзале at the station
i довожу, доводишь; p доведу, доведёшь, past довёл, довела
i обращать внимание на +а to note, take note of; p: обращу, обратишь; обратить внимание на +а to note sth
i плачу, платишь
p посажу, посадишь
i предстоит; Ему предстоят трудности Не faces difficulties
на рынке in the market
g sg столба
трое детей three children
i вношу, вносишь; p внесу, внесёшь, past внёс, внесла
i грожу, грозишь; p: при-/по-
и так далее (и т.д.) and so on, etc
short forms: m доволен, f довольна, pl довольны; Я довольна ими I’m pleased with them
в зависимости от +g depending on
Вы видели кого-нибудь? Did you see anyone?
i оказывать помощь to give assistance; p окажу, окажешь; оказать влияние на +a to exert an influence on
g pl подушек
система правления system of government
i расходимся, past разошлись; p разойдёмся, past разошлись
g pl рубашек
nom pl скалы
i терплю, терпишь
i управляю
g sg февраля
(or гм)
p выберу, выберешь
g sg декабря
nom pl зори, g pl зорь, d pl зорям
nom pl колокола
i меняюсь; Всё меняется Everything is changing; p: об-/по-
p оглянусь, оглянешься
(nom pl ордена) medal, decoration; (nom pl ордены) order (society)
p отпущу, отпустишь
g pl очков
i перевожу, переводишь; p переведу, переведёшь, past перевёл, перевела
i применяю; p применю, применишь
p присяду, присядешь, past присел, присела
i проверяю
p уберу, уберёшь, past убрал, убрала, убрало
i гожусь, годишься
женюсь, женишься
(indecl)
обратный адрес sender’s address; в обратную сторону in the opposite direction
p перебью, перебьёшь
(f)
no pres
i слышится
i сочиняю
(f)
с толком sensibly
i хохочу, хохочешь
g pl копеек
p отниму, отнимешь, past отнял, отняла, отняло
p отступлю, отступишь
g sg раба
g pl ручек
p скрою, скроешь
i торгую
pr sg в грязи
p доберусь, доберёшься, past добрался, добралась
g pl должностей
g pl коек
g pl локтей
p надоем, надоешь (like есть), past надоел, надоела; Он ей надоел She’s bored with him
g pl окошек
p прекращу, прекратишь
Работа продолжалось The work continued
i произношу, произносишь/p произнесу, произнесёшь, past произнёс, произнесла
(indecl)
p вбегу, вбежишь, вбегут
i везу, везёшь, past вёз, везла/p повезу, повезёшь, past повёз, повезла; Нам повезло We were lucky
g pl ветвей
p вскочу, вскочишь
i вывожу, выводишь; p выведу, выведешь, past вывел, вывела
short forms занят, занята, занято, заняты; Он занят He’s busy
p запишу, запишешь
Она обязана прийти She must come
i ору, орёшь
p оценю, оценишь
g sg племени, nom pl племена
p поглощу, поглотишь
p подготовлю, подготовишь
i проводится
p сложусь, сложишься
g pl страстей
g pl тарелок
g трёхсот
no 1st pers sg, p убедишь
g sg холма
i выношу, выносишь; p вынесу, вынесешь, past вынес, вынесла
мне думается I think
в заключение in conclusion
p изучу, изучишь
i кормлю, кормишь; на- p/по- р
p одену, оденешь
g pl палок
g pl площадок; датская площадка children’s playground
p подтвержу, подтвердишь
g sg сентября
i сую, суёшь; p суну, сунешь
pr sg в тылу
g pl бумажек
nom pl валы
i дерусь, дерёшься, past дрался, дралась
nom pl звенья
p наступлю, наступишь; Наступило лето Summer came
g sg огонька
p освобожу, освободишь
Директор в отпуске The director is on holiday
g pl переговоров
g sg пиджака
плотный обед filling meal
p поддержу, поддержишь
g pl полок
Вход посторонним воспрещён Private
p: пропаду, пропадёшь, past пропал, пропала
на аэродроме at an airfield
p налью, нальёшь, past налил, налила, налило, imperative налей(те)
i направляюсь; p направлюсь, направишься
p обману, обманешь
p осную, оснуёшь
отложу, отложишь
g pl полосок
g pl пристаней
p разберу, разберёшь, past разобрал, разобрала, разобрало
скорый поезд fast train
p сосредоточить внимание на +pr to concentrate attention on sth
i удивляюсь; p удивлюсь, удивишься
f божья, n божье
nom pl вёрсты, g pl вёрст
g pl заметок
g pl кукол
i ловлю, ловишь
так называемый so-called
g pl пластинок
i плыву, плывёшь, past плыл, плыла, плыло
p подберу, подберёшь, past подобрал, подобрала, подобрало
i: целую, целуешь; p поцелую, поцелуешь
p превращу, превратишь
g pl пуль
i руковожу, руководишь
nom pl сорта; высший сорт top quality
научная фантастика science fiction
nom pl верхи
i догоняю; p догоню, догонишь, past догнал, догнала, догнало
g sg зайца
= если (also коль)
no pl
pr sg на лугу, nom pl луга
i публикую
g pl оценок
i приветствую
i применяюсь
i бормочу, бормочешь
nom pl вёдра, g pl вёдер
p вырвусь, вырвешься
p выскажу, выскажешь
g pl выставок; на выставке at an exhibition
p дождусь, дождёшься, past дождался, дождалась
g sg игрока
g sg короля
g pl лавок
i наношу, наносишь; p нанесу, нанесёшь, past нанёс, нанесла
i объясняюсь
p освобожусь, освободишься
p отзовусь, отзовёшься, past отозвался, отозвалась
p положусь, положишься
p превышу, превысишь
p приглашу, пригласишь
p пройдусь, пройдёшься, past прошёлся, прошлась
i/p
g sg топора
p трону, тронешь
pr в/на шкафу
на юге in the south
i брожу, бродишь
i волнует
pr sg в гробу, nom pl гробы
g pl девок
действующий вулкан active volcano
i исполняю
g sg кирпича
g pl ложек
i любуюсь; p полюбуюсь
g pl ниток
p отражу, отразишь
на пасху at Easter
в письменном виде in written form; письменный стол desk
no i
на почте at the post office
p призову, призовёшь, past призвал, призвала, призвало
p past проник, проникла
i светит
суть дела the heart of the matter
p удержу, удержишь
i ценю, ценишь
i выгоняю, выгоняешь; p выгоню, выгонишь
i изволю, изволишь; Извольте выйти Kindly leave
i интересует; p заинтересует
Ишь какой грязный! Look how dirty it is!
i наполняю
g pl папок
p повышу, повысишь
p понадобится; если понадобится if necessary
p приступлю, приступишь
Продолжение следует То be continued
p разбужу, разбудишь
no pl
g pl решёток
nom pl свиньи, g pl свиней, d pl свиньям
i свищу, свистишь
g pl тряпок
g sg этажа
i блещу, блестишь or блещешь
or запасный
p: засы́пать
p изберу, изберёшь, past избрал, избрала, избрало
g pl костей
p ошибусь, ошибёшься; past ошибся, ошиблась
p повешу, повесишь
p помещу, поместишь
p предупрежу, предупредишь
p проживу, проживёшь, past прожил, прожила, прожило
g пятисот, d пятистам, inst пятьюстами, pr пятистах
g pl скатертей
из соображений безопасности for security reasons
nom pl стрелы
nom pl струи, g pl струй, d pl струям
g sg узла
g pl усмешек
nom pl яблоки, g pl яблок
владею, владеешь; Она владеет пятью языками She speaks five languages
p возрасту, возрастёшь; past возрос, возросла
i гасну, гаснешь, past гас, гасла
(pl)
g sg дневника
g pl картинок
nom pl косы; (а ко́су) plait; (а косу́) scythe
g pl кошек
g pl мышей
p преодолею, преодолеешь
i продаю, продаёшь; p продам, продашь, продаст, продадим, продадите, продадут, past продал, продала, продало
вз-/из-/об- р
g pl свадеб
печатные станки printing presses
в ущерб +d to the detriment of
g pl штанов
p вынужу, вынудишь
выходной день day off
i забочусь, заботишься
i завидую, завидуешь
p закурю, закуришь
no pl
Милости просим! Welcome!
i мчусь, мчишься
i определяется
i пожимать руку +d to shake s.o.’s hand; p пожму, пожмёшь
i поздравляю; p поздравлю, поздравишь
стоять поперёк дороги to be in the way; вдоль и поперёк far and wide
p поручу, поручишь
p прижму, прижмёшь
i проявляю; проявлять инициативу to show initiative; p проявлю, проявишь
i режу, режешь; по-/на-/раз- р
g sg скота
сырое мясо raw meat
no pl
i теку, течёшь, текут; past тёк, текла
дать течь to spring a leak
p: усмехнусь, усмехнёшься
i шепчу, шепчешь
нижнее бельё underwear
p возражу, возразишь
p выпаду, выпадешь; past выпал, выпала
nom pl грозы
i доносится; p донесётся, past донёсся, донеслась
p заберу, заберёшь, past забрал, забрала, забрало
i задаю, задаёшь; задавать вопрос to ask а question; p задам, задашь, задаст, зададим, зададите, зададут, past задал, задала, задало
p задержусь, задержишься
p заложу, заложишь
g pl занавесок
p запру, запрёшь; past запер, заперла, заперло
i издаю, издаёшь; p издам, издашь, издаст; издадим, издадите, издадут, past издал, издала, издало
f какова, n каково, pl каковы; Каков он? What’s he like?
любитель музыки music lover
no pl
i ненавижу, ненавидишь
p обсужу, обсудишь
p обопрусь, обопрёшься, past опёрся, оперлась
p освещу, осветишь
= поднимать i
Было полно народа There were lots of people
Полно жаловаться Stop complaining
p попадусь, попадёшься, past попался
i преследую, преследуешь
i раздаётся; p раздастся, past раздался, раздалась
g pl рамок
p сложу, сложишь
p сорву, сорвёшь, past сорвал, сорвала, сорвало
g sg табака
nom pl баре or бары, g pl бар
g pl барышень
вдвое больше twice as much
g pl веток
g sg владельца
nom pl волки, g pl волков
p добуду, добудешь, past добыл, добыла, добыло
g sg живота
i качать головой to shake one’s head
минеральная вода mineral water
Почта недалеко The post office is not far
p опущусь, опустишься
i осуществляю; p: осуществлю, осуществишь
p помру, помрёшь; past помер, померла, померло
i предоставляю; p предоставлю, предоставишь
пропущу, пропустишь
i распространяется
g sg рубежа; g sg рубежа; за рубежом abroad
i сияю, сияешь
i советую, советуешь; p посоветую
pr sg в соку
p соображу, сообразишь
i сохраняюсь
g pl ступеней
g sg стыда
i валяюсь, валяешься
g pl верёвок
p выброшу, выбросишь
i дую, дуешь
p зажгу, зажжёшь, зажгут; past зажёг, зажгла
p застану, застанешь
i здороваюсь
g pl мелочей
i мою, моешь
p опишу, опишешь
p отре́зать, отре́жу, отре́жешь
p охвачу, охватишь
g pl плёнок
p прикрою, прикроешь
i прилагать (все) усилия к +d to make every effort to; p приложу, приложишь; прикладывать i/прилагать i
i развожу, разводишь; p разведу, разведёшь, past развёл, развела
no р
i создаётся; p создастся
i сохраняю, сохраняешь
p спущусь, спустишься
g pl сумерек
i вожу, возишь
i выделяю, выделяешь
p выеду, выедешь
p вытру, вытрешь; past вытер, вытерла
i голосую, голосуешь
nom pl дубы
i завожу, заводишь; p заведу, заведёшь, past завёл, завела
i качусь, катишься; Пот катился со лба Sweat was rolling down his forehead
i кручу, крутишь; за-/с-/по- p
nom pl овцы, g pl овец, d pl овцам
p отнесу, отнесёшь; past отнёс, отнесла
i подвожу, подводишь; подводить итоги to sum up
no p
p посещу, посетишь
pr sg в поту
p приготовлю, приготовишь
смотреть пристально на +а to stare at
на протяжении (+g) during
p рассмотрю, рассмотришь
i рву, рвёшь, past рвал, рвала, рвало
p собью, собьёшь
p Она свернула налево She turned left
i свожу, сводишь/p сведу, сведёшь, past свёл, свела
g pl скамеек
сплошь и рядом very frequently
nom pl судьи, g pl судей, d pl судьям
g pl усадеб and усадьб
g pl чашек
nom pl брёвна, g pl брёвен
i виднеется
p восстановлю, восстановишь
p вылезти or вылезть; p вылезу, вылезешь; past вылез, вылезла
i интересуюсь, интересуешься
m pl
= который/какой
g pl крышек
по- p/с- р
p напьюсь, напьёшься, past напился, напилась
i несусь, несёшься; past нёсся, неслась
i ночую, ночуешь
Объединённые Нации United Nations
g pl остановок; без остановки without stopping
на пенсии retired
pr sg в плену
= подниматься
p поём, поёшь, поест, поедим, поедите, поедят, past поел, поела
g полугода
i: несу, несёшь; past нёс, несла; p понесу, понесёшь, past понёс, понесла
p примусь, примешься; past принялся, принялась
p сожгу, сожжёшь, сожгут, past сжёг, сожгла
g pl скамей
g pl спинок
i прячусь, прячешься; p спрячусь, спрячешься
вс- р; по- р
на худой конец if the worst comes to the worst
бурый медведь brown bear
i валю, валишь; p: по- or с-
no i
g sg гриба
nom pl гуси, g pl гусей
g pl забастовок
i обхожусь, обходишься; p обойдусь, обойдёшься, past обошёлся, обошлась
p обяжу, обяжешь
p одержу, одержишь; одержать победу to be victorious
p переживу, переживёшь, past пережил, пережила, пережило
nom pl повара
ничего не поделаешь it can’t be helped
p пригожусь, пригодишься
p прогоню, прогонишь, past прогнал, прогнала, прогнало
i проявляется; p проявится
p расспрошу, расспросишь
